split,year,team_name,wins,losses,num_games,win_percentage
vs. FBS Non-Winning,2019,Air Force,7,0,7,1.0
vs. BCS AQ,2019,Air Force,2,1,3,0.6666666666666666
vs. BCS non-AQ,2019,Air Force,8,1,9,0.8888888888888888
vs. FBS Power 5,2019,Air Force,2,0,2,1.0
vs. FBS non-Power 5,2019,Air Force,8,2,10,0.8
in August/September,2019,Air Force,3,1,4,0.75
in October,2019,Air Force,3,1,4,0.75
in November,2019,Air Force,4,0,4,1.0
in December/January,2019,Air Force,1,0,1,1.0
All Games,2020,Air Force,3,3,6,0.5
at Home,2020,Air Force,2,1,3,0.6666666666666666
on Road/Neutral Site,2020,Air Force,1,2,3,0.3333333333333333
vs. Conference,2020,Air Force,2,2,4,0.5
vs. Non-Conference,2020,Air Force,1,1,2,0.5
vs. Ranked (AP),2020,Air Force,0,1,1,0.0
vs. Unranked (AP),2020,Air Force,3,2,5,0.6
vs. FBS (I-A),2020,Air Force,3,3,6,0.5
vs. FCS (I-AA),2020,Air Force,0,0,0,
vs. FBS Winning,2020,Air Force,0,3,3,0.0
vs. FBS Non-Winning,2020,Air Force,3,0,3,1.0
vs. BCS AQ,2020,Air Force,1,0,1,1.0
vs. BCS non-AQ,2020,Air Force,2,3,5,0.4
vs. FBS Power 5,2020,Air Force,0,0,0,
vs. FBS non-Power 5,2020,Air Force,3,3,6,0.5
in August/September,2020,Air Force,0,0,0,
in October,2020,Air Force,1,2,3,0.3333333333333333
in November,2020,Air Force,1,0,1,1.0
in December/January,2020,Air Force,1,1,2,0.5
All Games,2021,Air Force,10,3,13,0.7692307692307693
at Home,2021,Air Force,4,2,6,0.6666666666666666
on Road/Neutral Site,2021,Air Force,6,1,7,0.8571428571428571
vs. Conference,2021,Air Force,6,2,8,0.75
vs. Non-Conference,2021,Air Force,4,1,5,0.8
vs. Ranked (AP),2021,Air Force,0,2,2,0.0
vs. Unranked (AP),2021,Air Force,10,1,11,0.9090909090909091
vs. FBS (I-A),2021,Air Force,9,3,12,0.75
vs. FCS (I-AA),2021,Air Force,1,0,1,1.0
