year,team_name,scoring_points_per_game,first_downs_total,rushing_yardsperattempt,passing_rating,passing_yards,total_offense_yardsperplay,punt_returns_yardsperreturn,kickoff_returns_yardsperreturn,punting_yardsperpunt,time_of_possessionpergame,third_down_conversions_conversion_perc,fourth_down_conversions_conversion_perc,red_zone_success_perc,field_goals_success_perc,pat_kicking_success_perc,two_point_conversions_success_perc,scoring_games,scoring_points,first_downs_rushing,first_downs_passing,first_downs_by_penalty,rushing_attempts,rushing_yards,rushing_td,passing_attempts,passing_completions,passing_interceptions,passing_td,total_offense_plays,total_offense_yards,punt_returns_returns,punt_returns_yards,punt_returns_td,kickoff_returns_returns,kickoff_returns_yards,kickoff_returns_td,punting_punts,punting_yards,interceptions_returns,interceptions_yards,interceptions_td,fumbles_number,fumbles_lost,penalties_number,penalties_yards,third_down_conversions_attempts,third_down_conversions_conversions,fourth_down_conversions_attempts,fourth_down_conversions_conversions,red_zone_attempts,red_zone_scores,field_goals_attempts,field_goals_made,pat_kicking_attempts,pat_kicking_made,two_point_conversions_attempts,two_point_conversions_made,opponent_scoring_points_per_game,opponent_first_downs_total,opponent_rushing_yardsperattempt,opponent_passing_rating,opponent_passing_yards,opponent_total_offense_yardsperplay,opponent_punt_returns_yardsperreturn,opponent_kickoff_returns_yardsperreturn,opponent_punting_yardsperpunt,opponent_time_of_possessionpergame,opponent_third_down_conversions_conversion_perc,opponent_fourth_down_conversions_conversion_perc,opponent_red_zone_success_perc,opponent_field_goals_success_perc,opponent_pat_kicking_success_perc,opponent_two_point_conversions_success_perc,opponent_scoring_games,opponent_scoring_points,opponent_first_downs_rushing,opponent_first_downs_passing,opponent_first_downs_by_penalty,opponent_rushing_attempts,opponent_rushing_yards,opponent_rushing_td,opponent_passing_attempts,opponent_passing_completions,opponent_passing_interceptions,opponent_passing_td,opponent_total_offense_plays,opponent_total_offense_yards,opponent_punt_returns_returns,opponent_punt_returns_yards,opponent_punt_returns_td,opponent_kickoff_returns_returns,opponent_kickoff_returns_yards,opponent_kickoff_returns_td,opponent_punting_punts,opponent_punting_yards,opponent_interceptions_returns,opponent_interceptions_yards,opponent_interceptions_td,opponent_fumbles_number,opponent_fumbles_lost,opponent_penalties_number,opponent_penalties_yards,opponent_third_down_conversions_attempts,opponent_third_down_conversions_conversions,opponent_fourth_down_conversions_attempts,opponent_fourth_down_conversions_conversions,opponent_red_zone_attempts,opponent_red_zone_scores,opponent_field_goals_attempts,opponent_field_goals_made,opponent_pat_kicking_attempts,opponent_pat_kicking_made,opponent_two_point_conversions_attempts,opponent_two_point_conversions_made
2016,Mississippi State,30.4,287.0,5.63,126.08,2726.0,6.07,4.0,20.67,38.94,28:51.23,0.40630000000000005,0.5,0.7736,0.579,0.98,0.3333,13.0,395.0,142.0,124.0,21.0,532.0,2997.0,24.0,411.0,230.0,10.0,24.0,943.0,5723.0,19.0,76.0,0.0,42.0,868.0,0.0,63.0,2453.0,14.0,300.0,3.0,18.0,6.0,68.0,617.0,192.0,78.0,28.0,14.0,53.0,41.0,19.0,11.0,49.0,48.0,3.0,1.0,31.8,298.0,4.76,143.92,3660.0,6.24,14.78,20.07,43.78,31:08.77,0.4105,0.6786,0.807,0.652,0.917,0.6,13.0,413.0,110.0,172.0,16.0,485.0,2308.0,17.0,472.0,291.0,14.0,33.0,957.0,5968.0,9.0,133.0,1.0,42.0,843.0,0.0,58.0,2539.0,10.0,81.0,1.0,16.0,9.0,68.0,561.0,190.0,78.0,28.0,19.0,57.0,46.0,23.0,15.0,48.0,44.0,5.0,3.0
2017,Mississippi State,32.0,299.0,5.16,113.7,2170.0,5.51,9.63,20.83,41.84,33:23.08,0.4619,0.52,0.8621,0.778,0.9620000000000001,1.0,13.0,416.0,182.0,99.0,18.0,634.0,3272.0,30.0,353.0,191.0,14.0,17.0,987.0,5442.0,24.0,231.0,2.0,29.0,604.0,0.0,55.0,2301.0,13.0,384.0,3.0,13.0,8.0,80.0,710.0,197.0,91.0,25.0,13.0,58.0,50.0,18.0,14.0,52.0,50.0,1.0,1.0,20.9,175.0,3.82,117.14,2271.0,5.23,4.78,17.93,40.98,26:36.92,0.3041,0.375,0.8,0.7859999999999999,0.971,,13.0,272.0,80.0,72.0,23.0,448.0,1711.0,18.0,313.0,159.0,13.0,13.0,761.0,3982.0,9.0,43.0,0.0,29.0,520.0,0.0,84.0,3442.0,14.0,366.0,2.0,22.0,8.0,65.0,626.0,171.0,52.0,16.0,6.0,30.0,24.0,14.0,11.0,34.0,33.0,0.0,0.0
2018,Mississippi State,28.5,255.0,5.66,126.12,2259.0,6.17,5.52,20.76,38.86,31:01.00,0.4152,0.3529,0.8809999999999999,0.75,1.0,0.0,13.0,371.0,153.0,87.0,15.0,514.0,2907.0,26.0,323.0,165.0,10.0,22.0,837.0,5166.0,21.0,116.0,0.0,21.0,436.0,0.0,56.0,2176.0,13.0,102.0,0.0,9.0,3.0,83.0,748.0,171.0,71.0,17.0,6.0,42.0,37.0,16.0,12.0,47.0,47.0,1.0,0.0,13.2,212.0,2.87,101.47,2184.0,4.13,7.43,22.39,39.94,28:59.00,0.2655,0.3478,0.7353000000000001,0.815,1.0,,13.0,171.0,90.0,98.0,24.0,431.0,1236.0,7.0,398.0,220.0,13.0,8.0,829.0,3420.0,7.0,52.0,0.0,36.0,806.0,0.0,72.0,2876.0,10.0,122.0,0.0,14.0,7.0,62.0,475.0,177.0,47.0,23.0,8.0,34.0,25.0,27.0,22.0,15.0,15.0,0.0,0.0
2019,Mississippi State,27.6,280.0,5.42,134.82,2333.0,6.16,4.36,16.54,42.57,31:39.31,0.3893,0.3889,0.8636,0.75,0.978,0.0,13.0,359.0,145.0,112.0,23.0,529.0,2868.0,27.0,315.0,186.0,10.0,19.0,844.0,5201.0,11.0,48.0,0.0,26.0,430.0,0.0,53.0,2256.0,10.0,163.0,2.0,21.0,13.0,72.0,578.0,149.0,58.0,18.0,7.0,44.0,38.0,12.0,9.0,45.0,44.0,3.0,0.0,28.8,264.0,4.34,148.39,3208.0,6.3,8.89,19.68,43.35,28:20.15,0.38670000000000004,0.5294,0.7925,0.733,0.958,1.0,13.0,375.0,108.0,136.0,20.0,456.0,1981.0,25.0,368.0,224.0,10.0,22.0,824.0,5189.0,19.0,169.0,0.0,41.0,807.0,1.0,51.0,2211.0,10.0,132.0,0.0,25.0,14.0,64.0,558.0,150.0,58.0,17.0,9.0,53.0,42.0,15.0,11.0,48.0,46.0,1.0,1.0
2020,Mississippi State,21.4,208.0,2.37,119.73,3259.0,4.92,6.9,28.07,41.73,30:57.73,0.3248,0.5714,0.7576,0.833,1.0,,11.0,235.0,41.0,150.0,17.0,204.0,483.0,8.0,557.0,373.0,18.0,17.0,761.0,3742.0,10.0,69.0,0.0,14.0,393.0,0.0,60.0,2504.0,11.0,281.0,3.0,7.0,7.0,72.0,661.0,157.0,51.0,21.0,12.0,33.0,25.0,12.0,10.0,29.0,29.0,0.0,0.0,28.1,235.0,3.55,138.1,2897.0,5.5,5.78,21.38,42.92,29:02.27,0.40990000000000004,0.4286,0.8,0.9329999999999999,1.0,0.6667000000000001,11.0,309.0,90.0,125.0,20.0,391.0,1390.0,11.0,389.0,240.0,11.0,23.0,780.0,4287.0,18.0,104.0,0.0,8.0,171.0,0.0,52.0,2232.0,18.0,283.0,4.0,12.0,7.0,74.0,636.0,161.0,66.0,21.0,9.0,40.0,32.0,15.0,14.0,35.0,35.0,3.0,2.0
2021,Mississippi State,29.1,335.0,3.04,147.04,4918.0,5.89,6.65,25.53,41.25,33:12.15,0.45659999999999995,0.625,0.8448,0.56,1.0,0.3333,13.0,378.0,70.0,236.0,29.0,271.0,823.0,10.0,704.0,518.0,9.0,37.0,975.0,5741.0,23.0,153.0,0.0,30.0,766.0,1.0,44.0,1815.0,11.0,99.0,0.0,12.0,9.0,98.0,755.0,173.0,79.0,16.0,10.0,58.0,49.0,25.0,14.0,42.0,42.0,6.0,2.0,25.9,219.0,3.63,137.93,3013.0,5.56,18.13,21.05,43.65,26:47.85,0.4157,0.4,0.8649,0.773,1.0,0.3333,13.0,337.0,84.0,121.0,14.0,406.0,1474.0,16.0,401.0,256.0,11.0,20.0,807.0,4487.0,16.0,290.0,2.0,21.0,442.0,0.0,57.0,2488.0,9.0,110.0,2.0,14.0,5.0,90.0,727.0,178.0,74.0,15.0,6.0,37.0,32.0,22.0,17.0,38.0,38.0,3.0,1.0
2022,Mississippi State,31.6,296.0,3.6,137.02,4046.0,5.5,10.14,27.76,40.23,30:09.77,0.392,0.5172,0.8889,0.706,0.9179999999999999,0.0,13.0,411.0,70.0,198.0,28.0,295.0,1062.0,12.0,634.0,428.0,9.0,36.0,929.0,5108.0,21.0,213.0,1.0,29.0,805.0,1.0,53.0,2132.0,14.0,294.0,3.0,19.0,10.0,82.0,790.0,176.0,69.0,29.0,15.0,45.0,40.0,17.0,12.0,49.0,45.0,3.0,0.0,23.1,239.0,3.91,119.18,2734.0,5.15,7.61,18.06,41.86,29:49.92,0.33520000000000005,0.46149999999999997,0.8181999999999999,0.773,1.0,0.2,13.0,300.0,96.0,110.0,33.0,446.0,1745.0,20.0,423.0,253.0,14.0,15.0,869.0,4479.0,18.0,137.0,1.0,33.0,596.0,0.0,66.0,2763.0,9.0,72.0,0.0,14.0,8.0,84.0,643.0,182.0,61.0,26.0,12.0,44.0,36.0,22.0,17.0,31.0,31.0,5.0,1.0
2009,Missouri,29.0,268.0,3.72,139.08,3711.0,5.89,9.52,20.87,42.02,27:43.54,0.3676,0.55,0.8077,0.963,1.0,0.0,13.0,377.0,102.0,142.0,24.0,444.0,1651.0,15.0,467.0,274.0,11.0,26.0,911.0,5362.0,25.0,238.0,0.0,63.0,1315.0,0.0,63.0,2647.0,8.0,102.0,1.0,18.0,8.0,69.0,716.0,185.0,68.0,20.0,11.0,52.0,42.0,27.0,26.0,39.0,39.0,3.0,0.0,25.4,264.0,3.33,132.55,3269.0,5.13,2.85,22.46,40.08,32:16.46,0.4279,0.4,0.8364,0.9470000000000001,0.914,0.4,13.0,330.0,110.0,137.0,17.0,463.0,1542.0,17.0,475.0,305.0,8.0,20.0,938.0,4811.0,20.0,57.0,1.0,67.0,1505.0,0.0,63.0,2525.0,11.0,231.0,2.0,24.0,15.0,91.0,754.0,201.0,86.0,20.0,8.0,55.0,46.0,19.0,18.0,35.0,32.0,5.0,2.0
2010,Missouri,29.8,287.0,4.63,127.47,3292.0,5.73,6.08,21.09,42.65,29:08.15,0.3804,0.5,0.8704000000000001,0.895,0.9570000000000001,0.0,13.0,388.0,108.0,162.0,17.0,439.0,2033.0,28.0,490.0,312.0,10.0,17.0,929.0,5325.0,26.0,158.0,0.0,33.0,696.0,1.0,71.0,3028.0,18.0,359.0,0.0,20.0,8.0,79.0,747.0,184.0,70.0,12.0,6.0,54.0,47.0,19.0,17.0,47.0,45.0,1.0,0.0,16.1,248.0,4.11,108.41,2645.0,5.01,3.96,21.92,40.45,30:48.15,0.39899999999999997,0.36,0.5714,0.5,0.955,0.25,13.0,209.0,101.0,126.0,21.0,484.0,1988.0,12.0,441.0,249.0,18.0,13.0,925.0,4633.0,24.0,95.0,0.0,66.0,1447.0,0.0,67.0,2710.0,10.0,131.0,1.0,24.0,11.0,80.0,634.0,203.0,81.0,25.0,9.0,35.0,20.0,20.0,10.0,22.0,21.0,4.0,1.0
2011,Missouri,32.8,316.0,5.38,143.58,3017.0,6.36,8.89,21.98,44.16,29:58.62,0.39890000000000003,0.5882000000000001,0.8946999999999999,0.64,1.0,1.0,13.0,427.0,175.0,126.0,15.0,588.0,3165.0,30.0,384.0,244.0,11.0,23.0,972.0,6182.0,19.0,169.0,1.0,44.0,967.0,0.0,64.0,2826.0,13.0,113.0,0.0,15.0,8.0,70.0,593.0,183.0,73.0,17.0,10.0,57.0,51.0,25.0,16.0,53.0,53.0,1.0,1.0,23.5,269.0,3.58,127.68,3284.0,5.2,5.71,18.19,38.81,31:10.23,0.4115,0.5,0.7609,0.647,0.9209999999999999,1.0,13.0,306.0,101.0,151.0,17.0,463.0,1656.0,17.0,487.0,306.0,13.0,20.0,950.0,4940.0,17.0,97.0,0.0,67.0,1219.0,0.0,80.0,3105.0,11.0,239.0,2.0,20.0,9.0,77.0,583.0,209.0,86.0,16.0,8.0,46.0,35.0,17.0,11.0,38.0,35.0,1.0,1.0
2012,Missouri,25.8,217.0,3.67,113.32,2615.0,4.93,15.04,24.69,41.96,29:53.75,0.3333,0.43479999999999996,0.7692,0.7,0.892,0.0,12.0,309.0,95.0,114.0,8.0,453.0,1662.0,16.0,414.0,228.0,14.0,15.0,867.0,4277.0,28.0,421.0,3.0,35.0,864.0,2.0,70.0,2937.0,7.0,124.0,1.0,21.0,8.0,67.0,519.0,186.0,62.0,23.0,10.0,39.0,30.0,20.0,14.0,37.0,33.0,2.0,0.0,28.4,245.0,3.97,137.92,2897.0,5.5,9.48,18.84,40.47,30:06.25,0.35119999999999996,0.5625,0.7843000000000001,0.6920000000000001,0.976,0.25,12.0,341.0,91.0,137.0,17.0,451.0,1791.0,26.0,401.0,261.0,7.0,19.0,852.0,4688.0,33.0,313.0,0.0,45.0,848.0,0.0,75.0,3035.0,14.0,152.0,0.0,28.0,16.0,74.0,563.0,168.0,59.0,16.0,9.0,51.0,40.0,13.0,9.0,41.0,40.0,4.0,1.0
2013,Missouri,39.1,343.0,5.66,143.31,3540.0,6.59,6.72,23.07,41.03,29:59.21,0.43810000000000004,0.625,0.875,0.72,0.9570000000000001,0.5,14.0,548.0,160.0,156.0,27.0,588.0,3330.0,35.0,454.0,267.0,8.0,31.0,1042.0,6870.0,25.0,168.0,0.0,30.0,692.0,0.0,68.0,2790.0,20.0,232.0,2.0,14.0,8.0,72.0,543.0,194.0,85.0,16.0,10.0,64.0,56.0,25.0,18.0,69.0,66.0,2.0,1.0,23.1,297.0,4.17,121.16,3709.0,5.42,8.5,22.37,40.22,30:00.36,0.3778,0.5652,0.8332999999999999,0.7390000000000001,1.0,0.3333,14.0,323.0,120.0,160.0,17.0,513.0,2141.0,20.0,567.0,356.0,20.0,18.0,1080.0,5850.0,20.0,170.0,0.0,38.0,850.0,1.0,83.0,3338.0,8.0,77.0,0.0,18.0,12.0,103.0,768.0,225.0,85.0,23.0,13.0,48.0,40.0,23.0,17.0,36.0,36.0,3.0,1.0
2014,Missouri,27.8,270.0,4.62,120.46,2648.0,5.39,10.41,24.65,41.15,28:59.79,0.4286,0.8125,0.9333,0.72,0.956,0.6667000000000001,14.0,389.0,129.0,122.0,19.0,539.0,2490.0,17.0,415.0,221.0,13.0,25.0,954.0,5138.0,27.0,281.0,1.0,26.0,641.0,2.0,75.0,3086.0,12.0,197.0,1.0,10.0,3.0,102.0,815.0,217.0,93.0,16.0,13.0,45.0,42.0,25.0,18.0,45.0,43.0,3.0,2.0,21.1,275.0,3.51,121.01,2978.0,4.82,8.27,24.85,41.41,31:00.21,0.3699,0.5,0.8684000000000001,0.778,0.971,1.0,14.0,295.0,113.0,137.0,25.0,531.0,1865.0,18.0,474.0,288.0,12.0,18.0,1005.0,4843.0,22.0,182.0,0.0,34.0,845.0,0.0,83.0,3437.0,13.0,116.0,0.0,32.0,13.0,83.0,671.0,219.0,81.0,24.0,12.0,38.0,33.0,18.0,14.0,34.0,33.0,2.0,2.0
2015,Missouri,13.6,181.0,3.49,97.01,1986.0,4.38,5.85,15.08,42.93,27:02.00,0.3034,0.4118,0.7742,0.8,1.0,1.0,12.0,163.0,76.0,85.0,20.0,397.0,1385.0,5.0,373.0,186.0,12.0,10.0,770.0,3371.0,27.0,158.0,1.0,38.0,573.0,0.0,81.0,3477.0,9.0,156.0,0.0,18.0,5.0,63.0,517.0,178.0,54.0,17.0,7.0,31.0,24.0,20.0,16.0,15.0,15.0,1.0,1.0,16.2,213.0,3.29,114.29,2031.0,4.32,7.42,26.5,40.61,32:58.00,0.39270000000000005,0.4545,0.8158,0.636,0.909,,12.0,194.0,99.0,98.0,16.0,484.0,1593.0,11.0,354.0,219.0,9.0,10.0,838.0,3624.0,24.0,178.0,0.0,24.0,636.0,0.0,79.0,3208.0,12.0,152.0,1.0,18.0,7.0,62.0,605.0,191.0,75.0,11.0,5.0,38.0,31.0,22.0,14.0,22.0,20.0,0.0,0.0
2016,Missouri,31.4,292.0,4.92,136.0,3545.0,6.34,11.27,18.86,43.85,24:18.17,0.4301,0.5417000000000001,0.7451000000000001,0.462,0.882,1.0,12.0,377.0,144.0,130.0,18.0,500.0,2461.0,24.0,448.0,249.0,10.0,25.0,948.0,6006.0,26.0,293.0,1.0,43.0,811.0,0.0,66.0,2894.0,15.0,170.0,2.0,28.0,13.0,80.0,685.0,193.0,83.0,24.0,13.0,51.0,38.0,13.0,6.0,51.0,45.0,1.0,1.0,31.5,273.0,5.26,123.42,2962.0,6.07,5.55,25.76,40.46,36:06.83,0.44329999999999997,0.4167,0.82,0.545,1.0,0.0,12.0,378.0,120.0,133.0,20.0,531.0,2794.0,28.0,418.0,241.0,15.0,17.0,949.0,5756.0,20.0,111.0,0.0,21.0,541.0,1.0,67.0,2711.0,10.0,227.0,3.0,7.0,5.0,75.0,596.0,194.0,86.0,12.0,5.0,50.0,41.0,22.0,12.0,48.0,48.0,1.0,0.0
2017,Missouri,37.5,304.0,5.18,163.07,4012.0,7.13,16.57,21.62,44.31,25:01.31,0.4509,0.2727,0.9057,0.85,0.9520000000000001,0.0,13.0,488.0,133.0,150.0,21.0,486.0,2516.0,16.0,430.0,247.0,14.0,44.0,916.0,6528.0,14.0,232.0,2.0,42.0,908.0,0.0,58.0,2570.0,12.0,140.0,1.0,13.0,11.0,96.0,774.0,173.0,78.0,11.0,3.0,53.0,48.0,20.0,17.0,62.0,59.0,1.0,0.0,31.8,267.0,3.98,132.18,3308.0,5.6,8.36,21.82,43.62,34:58.69,0.434,0.5294,0.9111,0.8,1.0,0.5,13.0,414.0,110.0,133.0,24.0,521.0,2075.0,27.0,441.0,263.0,12.0,20.0,962.0,5383.0,11.0,92.0,0.0,39.0,851.0,1.0,73.0,3184.0,14.0,227.0,1.0,12.0,5.0,77.0,648.0,212.0,92.0,17.0,9.0,45.0,41.0,25.0,20.0,48.0,48.0,2.0,1.0
2018,Missouri,36.6,320.0,4.76,146.9,3632.0,6.24,2.6,19.65,43.57,30:53.31,0.46380000000000005,0.5333,0.871,0.735,0.9440000000000001,0.25,13.0,476.0,129.0,160.0,31.0,553.0,2631.0,27.0,451.0,281.0,8.0,28.0,1004.0,6263.0,20.0,52.0,0.0,17.0,334.0,0.0,51.0,2222.0,10.0,117.0,1.0,18.0,7.0,90.0,800.0,207.0,96.0,15.0,8.0,62.0,54.0,34.0,25.0,54.0,51.0,4.0,1.0,25.5,244.0,3.7,133.33,3406.0,5.68,10.08,21.1,38.56,29:06.69,0.34240000000000004,0.28,0.8889,0.8,0.972,0.0,13.0,331.0,84.0,137.0,23.0,444.0,1644.0,11.0,445.0,248.0,10.0,24.0,889.0,5050.0,13.0,131.0,2.0,29.0,612.0,0.0,66.0,2545.0,8.0,107.0,1.0,14.0,6.0,87.0,759.0,184.0,63.0,25.0,7.0,45.0,40.0,25.0,20.0,36.0,35.0,2.0,0.0
2019,Missouri,25.3,245.0,3.82,130.44,2671.0,5.27,11.15,17.89,43.24,29:54.08,0.36460000000000004,0.5385,0.7391,0.696,0.919,,12.0,304.0,110.0,109.0,26.0,476.0,1820.0,14.0,376.0,226.0,8.0,17.0,852.0,4491.0,20.0,223.0,1.0,9.0,161.0,0.0,68.0,2940.0,8.0,266.0,4.0,13.0,6.0,83.0,808.0,181.0,66.0,13.0,7.0,46.0,34.0,23.0,16.0,37.0,34.0,0.0,0.0,19.4,195.0,3.77,111.83,2151.0,4.86,9.83,22.0,43.78,30:05.92,0.33149999999999996,0.35710000000000003,0.8065000000000001,0.684,0.889,1.0,12.0,233.0,76.0,91.0,28.0,423.0,1593.0,12.0,348.0,175.0,8.0,15.0,771.0,3744.0,23.0,226.0,0.0,6.0,132.0,0.0,79.0,3459.0,8.0,114.0,0.0,11.0,7.0,69.0,627.0,181.0,60.0,14.0,5.0,31.0,25.0,19.0,13.0,27.0,24.0,1.0,1.0
2020,Missouri,26.7,222.0,3.85,134.38,2668.0,5.63,4.09,16.3,43.08,30:47.40,0.4326,0.5556,0.9412,0.85,1.0,0.5,10.0,267.0,75.0,130.0,17.0,351.0,1352.0,21.0,363.0,246.0,6.0,9.0,714.0,4020.0,11.0,45.0,0.0,10.0,163.0,0.0,39.0,1680.0,4.0,67.0,1.0,17.0,8.0,58.0,499.0,141.0,61.0,18.0,10.0,34.0,32.0,20.0,17.0,28.0,28.0,2.0,1.0,32.3,219.0,4.53,144.62,2458.0,6.1,2.33,17.0,42.58,29:12.60,0.376,0.7222,0.9189,0.769,0.951,1.0,10.0,323.0,92.0,108.0,19.0,358.0,1622.0,19.0,311.0,182.0,4.0,21.0,669.0,4080.0,9.0,21.0,0.0,3.0,51.0,0.0,43.0,1831.0,6.0,96.0,1.0,11.0,5.0,56.0,457.0,125.0,47.0,18.0,13.0,37.0,34.0,13.0,10.0,41.0,39.0,1.0,1.0
2021,Missouri,29.1,282.0,5.06,131.14,3036.0,5.86,5.31,18.94,41.2,30:28.31,0.43979999999999997,0.5789,0.9,0.92,1.0,0.6667000000000001,13.0,378.0,119.0,138.0,25.0,463.0,2342.0,22.0,455.0,301.0,11.0,19.0,918.0,5378.0,13.0,69.0,0.0,32.0,606.0,1.0,56.0,2307.0,11.0,91.0,1.0,4.0,2.0,83.0,770.0,191.0,84.0,19.0,11.0,40.0,36.0,25.0,23.0,41.0,41.0,3.0,2.0,33.8,297.0,5.32,146.59,2688.0,6.38,8.47,16.6,40.4,29:31.69,0.4337,0.8181999999999999,0.9259000000000001,0.765,1.0,,13.0,440.0,156.0,115.0,26.0,557.0,2963.0,32.0,329.0,196.0,11.0,25.0,886.0,5651.0,15.0,127.0,0.0,5.0,83.0,0.0,50.0,2020.0,11.0,95.0,0.0,11.0,5.0,65.0,567.0,166.0,72.0,22.0,18.0,54.0,50.0,17.0,13.0,57.0,57.0,0.0,0.0
2022,Missouri,24.8,241.0,4.1,129.3,2768.0,5.4,11.31,14.25,41.57,31:05.00,0.39380000000000004,0.5,0.8085,0.7859999999999999,1.0,0.3333,13.0,323.0,101.0,122.0,18.0,490.0,2011.0,20.0,395.0,250.0,9.0,14.0,885.0,4779.0,13.0,147.0,1.0,16.0,228.0,0.0,65.0,2702.0,11.0,99.0,2.0,15.0,11.0,101.0,828.0,193.0,76.0,20.0,10.0,47.0,38.0,28.0,22.0,33.0,33.0,3.0,1.0,25.2,242.0,3.65,129.13,2799.0,5.28,15.69,13.64,40.54,27:44.54,0.34409999999999996,0.6315999999999999,0.875,0.609,0.951,,13.0,327.0,98.0,116.0,28.0,447.0,1632.0,19.0,393.0,235.0,11.0,18.0,840.0,4431.0,13.0,204.0,1.0,11.0,150.0,0.0,68.0,2757.0,9.0,87.0,1.0,16.0,7.0,70.0,553.0,186.0,64.0,19.0,12.0,40.0,35.0,23.0,14.0,41.0,39.0,0.0,0.0
2009,Navy,28.0,267.0,4.79,144.25,1058.0,5.36,6.81,18.52,43.09,33:54.57,0.4643,0.6786,0.8245999999999999,0.733,1.0,0.5,14.0,392.0,210.0,40.0,17.0,820.0,3927.0,44.0,110.0,58.0,4.0,6.0,930.0,4985.0,16.0,109.0,1.0,46.0,852.0,0.0,54.0,2327.0,13.0,204.0,0.0,22.0,10.0,48.0,415.0,196.0,91.0,28.0,19.0,57.0,47.0,15.0,11.0,49.0,49.0,2.0,1.0,19.4,253.0,3.93,124.01,2983.0,5.48,8.52,22.86,36.91,26:04.36,0.34119999999999995,0.4,0.7082999999999999,0.6920000000000001,0.966,0.5,14.0,272.0,102.0,143.0,8.0,435.0,1710.0,12.0,421.0,248.0,13.0,15.0,856.0,4693.0,21.0,179.0,1.0,69.0,1577.0,1.0,57.0,2104.0,4.0,93.0,1.0,24.0,10.0,78.0,668.0,170.0,58.0,20.0,8.0,48.0,34.0,26.0,18.0,29.0,28.0,2.0,1.0
2010,Navy,29.7,266.0,5.35,156.64,1560.0,6.2,5.38,22.46,37.52,31:24.23,0.5176,0.65,0.8214,0.75,0.9790000000000001,1.0,13.0,386.0,188.0,61.0,17.0,692.0,3702.0,37.0,157.0,84.0,6.0,13.0,849.0,5262.0,13.0,70.0,0.0,50.0,1123.0,0.0,42.0,1576.0,7.0,66.0,0.0,18.0,10.0,44.0,359.0,170.0,88.0,20.0,13.0,56.0,46.0,12.0,9.0,48.0,47.0,3.0,3.0,23.3,270.0,4.59,140.09,2921.0,5.68,7.65,23.41,41.49,28:35.77,0.4269,0.6563,0.8,0.929,0.973,0.0,13.0,303.0,114.0,149.0,7.0,470.0,2156.0,16.0,424.0,290.0,7.0,22.0,894.0,5077.0,17.0,130.0,0.0,64.0,1498.0,0.0,43.0,1784.0,6.0,28.0,0.0,26.0,16.0,69.0,604.0,171.0,73.0,32.0,21.0,50.0,40.0,14.0,13.0,37.0,36.0,1.0,0.0
2011,Navy,29.7,255.0,5.4,127.72,1029.0,5.76,7.46,20.58,37.28,31:21.00,0.47369999999999995,0.5,0.7707999999999999,0.667,0.9129999999999999,1.0,12.0,356.0,201.0,40.0,14.0,694.0,3747.0,34.0,135.0,65.0,6.0,10.0,829.0,4776.0,13.0,97.0,0.0,53.0,1091.0,1.0,36.0,1342.0,10.0,152.0,2.0,18.0,9.0,28.0,240.0,171.0,81.0,30.0,15.0,48.0,37.0,15.0,10.0,46.0,42.0,1.0,1.0,28.9,269.0,4.83,147.96,2723.0,6.13,4.67,24.54,40.03,28:27.33,0.5135000000000001,0.5789,0.8112999999999999,0.5,1.0,,12.0,347.0,129.0,135.0,5.0,464.0,2243.0,32.0,346.0,257.0,10.0,14.0,810.0,4966.0,6.0,28.0,0.0,54.0,1325.0,0.0,35.0,1401.0,6.0,-4.0,0.0,23.0,14.0,56.0,498.0,148.0,76.0,19.0,11.0,53.0,43.0,12.0,6.0,47.0,47.0,0.0,0.0
2012,Navy,25.0,280.0,5.17,139.37,1362.0,5.71,8.75,23.5,43.61,31:10.77,0.4103,0.6429,0.7917000000000001,0.667,1.0,1.0,13.0,325.0,209.0,59.0,12.0,700.0,3620.0,28.0,172.0,99.0,5.0,11.0,872.0,4982.0,12.0,105.0,0.0,44.0,1034.0,1.0,44.0,1919.0,8.0,60.0,2.0,24.0,14.0,48.0,378.0,156.0,64.0,28.0,18.0,48.0,38.0,15.0,10.0,41.0,41.0,1.0,1.0,25.7,291.0,4.81,145.48,2799.0,6.05,11.25,22.14,40.05,28:48.92,0.4843,0.375,0.74,0.85,0.925,0.0,13.0,334.0,157.0,124.0,10.0,523.0,2516.0,23.0,356.0,246.0,8.0,16.0,879.0,5315.0,12.0,135.0,0.0,43.0,952.0,0.0,37.0,1482.0,5.0,-2.0,0.0,22.0,11.0,53.0,464.0,159.0,77.0,24.0,9.0,50.0,37.0,20.0,17.0,40.0,37.0,1.0,0.0
